# w3 dual-exit per-trade record | walker CH-1 exact 1487/1487 | field=SEARCH uncapped+catchup
date,cell,pnl_v4,pnl_run,armed,raised_hit
2015-11-04,POKED|FRESH,9.22,9.22,1,0
2015-11-05,CLEAN|FRESH,3.04,3.04,1,0
2015-11-06,CLEAN|SPENT,2.84,2.84,0,0
2015-11-09,POKED|SPENT,-2.51,-2.51,0,0
2015-11-10,CLEAN|SPENT,-3.29,-3.29,0,0
2015-11-11,CLEAN|SPENT,3.27,3.27,0,0
2015-11-12,POKED|FRESH,5.85,-4.26,1,1
2015-11-13,POKED|SPENT,-1.55,-1.55,0,0
2015-11-16,FO,-9.42,-9.42,0,0
2015-11-17,CLEAN|FRESH,6.23,6.23,1,0
2015-11-19,CLEAN|FRESH,-9.57,-9.57,0,0
2015-11-20,FO,-6.24,-6.24,0,0
2015-11-23,CLEAN|FRESH,-1.81,-1.81,0,0
2015-11-27,FO,6.79,7.85,1,1
2015-12-04,CLEAN|FRESH,1.19,18.55,1,1
2015-12-09,CLEAN|SPENT,0.67,-4.68,1,1
2015-12-10,POKED|FRESH,-0.75,-0.75,0,0
2015-12-11,CLEAN|FRESH,-7.35,-7.35,0,0
2015-12-21,FO,7.13,7.13,1,0
2015-12-22,FO,-4.07,-4.07,0,0
2015-12-23,FO,-2.74,-2.74,0,0
2015-12-30,POKED|FRESH,-3.27,-3.27,0,0
2015-12-31,POKED|SPENT,-2.86,-2.86,0,0
2016-01-05,FO,-0.65,-0.65,0,0
2016-01-06,FO,1.73,13.1,1,1
2016-01-07,CLEAN|FRESH,5.87,5.87,0,0
2016-01-12,POKED|SPENT,2.75,2.42,1,1
2016-01-13,CLEAN|FRESH,-5.33,-5.33,0,0
2016-01-19,CLEAN|FRESH,-5.28,-5.28,0,0
2016-01-20,POKED|FRESH,8.2,7.41,1,1
2016-01-21,FO,-6.37,-6.37,0,0
2016-01-22,CLEAN|SPENT,-3.97,-3.97,0,0
2016-01-26,FO,7.15,7.15,1,0
2016-02-01,FO,5.81,5.81,0,0
2016-02-03,CLEAN|SPENT,0.13,-3.18,1,1
2016-02-04,CLEAN|FRESH,8.14,11.36,1,1
2016-02-05,POKED|FRESH,-4.06,-4.06,0,0
2016-02-08,POKED|FRESH,16.05,16.59,1,1
2016-02-09,POKED|SPENT,-5.37,-5.37,0,0
2016-02-10,POKED|SPENT,1.41,1.41,0,0
2016-02-11,CLEAN|FRESH,26.78,28.59,1,1
2016-02-18,CLEAN|FRESH,-5.63,-5.63,0,0
2016-02-19,CLEAN|SPENT,-7.69,-7.69,0,0
2016-02-24,POKED|SPENT,11.61,-3.84,1,1
2016-02-25,FO,-4.65,-4.65,0,0
2016-03-03,POKED|FRESH,18.03,18.03,1,0
2016-03-04,FO,2.48,-7.93,1,1
2016-03-07,CLEAN|FRESH,-2.07,-2.07,0,0
2016-03-08,CLEAN|FRESH,-9.61,-9.61,0,0
2016-03-09,CLEAN|FRESH,-1.12,-1.12,0,0
2016-03-10,FO,1.55,-8.22,1,1
2016-03-14,CLEAN|SPENT,14,14,1,0
2016-03-16,POKED|FRESH,-5.53,-5.53,0,0
2016-03-17,POKED|FRESH,-5.87,-5.87,0,0
2016-03-21,FO,-0.96,-0.96,0,0
2016-03-23,FO,9.94,9.94,0,0
2016-03-24,CLEAN|FRESH,-8.69,-8.69,0,0
2016-03-29,FO,-6.66,-6.66,0,0
2016-03-30,CLEAN|FRESH,-8.18,-8.18,0,0
2016-03-31,CLEAN|FRESH,2.42,1.11,1,1
2016-04-01,POKED|FRESH,-5.19,-5.19,0,0
2016-04-04,CLEAN|FRESH,-6.71,-6.71,0,0
2016-04-05,FO,2.9,2.9,0,0
2016-04-08,POKED|FRESH,-0.23,-0.23,0,0
2016-04-11,FO,2.24,2.24,0,0
2016-04-12,CLEAN|FRESH,-6.79,-6.79,0,0
2016-04-14,CLEAN|SPENT,2.1,2.1,0,0
2016-04-18,CLEAN|FRESH,-6.64,-6.64,0,0
2016-04-21,CLEAN|FRESH,9.26,-1.95,1,1
2016-04-22,POKED|FRESH,13.62,13.62,1,0
2016-04-26,CLEAN|FRESH,-6.23,-6.23,0,0
2016-04-27,CLEAN|FRESH,-4.45,-4.45,0,0
2016-04-28,FO,16.05,16.05,1,0
2016-04-29,CLEAN|FRESH,8.75,8.75,0,0
2016-05-02,POKED|FRESH,1.27,-5.64,1,1
2016-05-03,CLEAN|SPENT,-7.57,-7.57,0,0
2016-05-04,CLEAN|FRESH,-9.27,-9.27,0,0
2016-05-05,CLEAN|SPENT,-6.22,-6.22,0,0
2016-05-10,POKED|SPENT,-7.25,-7.25,0,0
2016-05-12,CLEAN|SPENT,-7.36,-7.36,0,0
2016-05-16,FO,-8.55,-8.55,0,0
2016-05-19,FO,4,0.31,1,1
2016-05-20,FO,-5.96,-5.96,0,0
2016-05-23,POKED|FRESH,-1.31,-1.31,0,0
2016-05-24,FO,15.88,15.88,1,0
2016-05-25,POKED|FRESH,-1.36,-1.36,0,0
2016-05-26,POKED|FRESH,0.65,0.65,0,0
2016-05-27,POKED|FRESH,-2.41,-2.41,0,0
2016-06-01,CLEAN|FRESH,-7.08,-7.08,0,0
2016-06-08,FO,12.01,12.01,1,0
2016-06-09,CLEAN|SPENT,2.14,2.14,0,0
2016-06-10,CLEAN|SPENT,-4.15,-4.15,0,0
2016-06-13,CLEAN|FRESH,1.92,4.78,1,1
2016-06-14,POKED|SPENT,1.18,1.15,1,1
2016-06-15,FO,-3.85,-3.85,0,0
2016-06-16,FO,-11.91,-11.91,0,0
2016-06-20,CLEAN|FRESH,-10.49,-10.49,0,0
2016-06-21,FO,19.13,19.13,1,0
2016-06-22,POKED|FRESH,-0.59,-0.59,0,0
2016-06-23,POKED|SPENT,-7.74,-7.74,0,0
2016-06-29,FO,-3.99,-3.99,0,0
2016-06-30,POKED|SPENT,0.77,5.1,1,1
2016-07-01,FO,4.14,4.14,0,0
2016-07-05,CLEAN|FRESH,2.8,2.8,0,0
2016-07-06,FO,-7.27,-7.27,0,0
2016-07-08,CLEAN|FRESH,-7.73,-7.73,0,0
2016-07-12,POKED|FRESH,17.87,17.87,1,0
2016-07-14,FO,5.29,2.23,1,1
2016-07-15,CLEAN|FRESH,-4.23,-4.23,0,0
2016-07-25,CLEAN|FRESH,-1,-1,0,0
2016-07-28,POKED|FRESH,-4.32,-4.32,0,0
2016-07-29,POKED|FRESH,2.54,2.54,0,0
2016-08-01,CLEAN|FRESH,1.83,1.83,0,0
2016-08-02,CLEAN|SPENT,7.63,7.63,1,0
2016-08-05,FO,-3.68,-3.68,0,0
2016-08-08,CLEAN|SPENT,-7.16,-7.16,0,0
2016-08-09,FO,-4.1,-4.1,0,0
2016-08-10,FO,-7.51,-7.51,0,0
2016-08-11,POKED|FRESH,-6.45,-6.45,0,0
2016-08-15,POKED|SPENT,-3.9,-3.9,0,0
2016-08-16,FO,-0.97,-0.97,0,0
2016-08-24,CLEAN|FRESH,6.08,6.08,1,0
2016-08-25,CLEAN|SPENT,1.15,0.51,1,1
2016-08-26,CLEAN|SPENT,-4.49,-4.49,0,0
2016-08-30,FO,10.37,10.37,1,0
2016-08-31,CLEAN|FRESH,1.05,1.05,0,0
2016-09-01,CLEAN|FRESH,-6.74,-6.74,0,0
2016-09-05,FO,0.43,0.43,0,0
2016-09-06,CLEAN|FRESH,19.87,19.87,1,0
2016-09-08,FO,-5.75,-5.75,0,0
2016-09-09,POKED|FRESH,-0.09,3.67,1,1
2016-09-12,CLEAN|FRESH,-5.41,-5.41,0,0
2016-09-13,POKED|FRESH,8,8,1,0
2016-09-15,FO,-4.7,-4.7,0,0
2016-09-16,CLEAN|FRESH,0.8,4.05,1,1
2016-09-21,POKED|FRESH,12.74,12.74,1,0
2016-09-22,POKED|FRESH,3.58,0.9,1,1
2016-09-23,CLEAN|FRESH,-0.1,-0.1,0,0
2016-09-26,CLEAN|SPENT,-4.91,-4.91,0,0
2016-09-28,FO,3.63,1.92,1,1
2016-09-29,POKED|FRESH,-1.09,-1.09,0,0
2016-09-30,POKED|SPENT,-5.38,-5.38,0,0
2016-10-03,CLEAN|FRESH,0.39,0.39,0,0
2016-10-04,CLEAN|FRESH,35.57,38.02,1,1
2016-10-05,POKED|FRESH,-1.24,-1.24,0,0
2016-10-06,FO,8.83,9.98,1,1
2016-10-07,CLEAN|SPENT,-5.08,-5.08,0,0
2016-10-11,CLEAN|SPENT,1.83,1.83,0,0
2016-10-12,CLEAN|FRESH,-7,-7,0,0
2016-10-14,POKED|FRESH,-0.5,-0.5,0,0
2016-10-18,POKED|FRESH,0.98,0.98,0,0
2016-10-19,CLEAN|SPENT,1.1,2.22,1,1
2016-10-20,CLEAN|FRESH,-4.83,-4.83,0,0
2016-11-01,FO,5.9,7.76,1,1
2016-11-02,FO,7.48,2.19,1,1
2016-11-04,POKED|FRESH,-4.1,-4.1,0,0
2016-11-07,POKED|FRESH,5.58,5.58,1,0
2016-11-08,POKED|SPENT,-3.66,-3.66,0,0
2016-11-10,CLEAN|SPENT,16.51,16.51,1,0
2016-11-11,POKED|FRESH,16.88,16.88,1,0
2016-11-14,POKED|FRESH,-7.03,-7.03,0,0
2016-11-15,CLEAN|FRESH,-8.65,-8.65,0,0
2016-11-16,POKED|FRESH,0.79,0.79,0,0
2016-11-17,POKED|SPENT,-4.91,-4.91,0,0
2016-11-18,FO,-1.79,-1.79,0,0
2016-11-23,FO,-3.27,-3.27,0,0
2016-11-24,POKED|FRESH,-7.5,-7.5,0,0
2016-11-30,FO,13.99,13.99,1,0
2016-12-02,POKED|FRESH,-7.12,-7.12,0,0
2016-12-09,CLEAN|SPENT,3.59,3.59,1,0
2016-12-12,CLEAN|SPENT,-6.11,-6.11,0,0
2016-12-13,FO,1.47,1.44,1,1
2016-12-15,POKED|FRESH,6.5,6.5,1,0
2016-12-19,POKED|FRESH,-0.99,-0.99,0,0
2016-12-22,FO,-4.2,-4.2,0,0
2016-12-27,FO,4.07,0.18,1,1
2016-12-28,FO,-6.03,-6.03,0,0
2016-12-29,FO,6.74,6.74,0,0
2017-01-04,FO,-0.01,1.49,1,1
2017-01-05,FO,3.02,3.02,0,0
2017-01-09,POKED|FRESH,5.42,5.42,1,0
2017-01-10,FO,-0.34,-0.34,0,0
2017-01-11,FO,-3.52,-3.52,0,0
