date,n_avail,win_sec,imb,path_eff,srun,mvol,dur_cv,lvl_act,sh_path,sh_srun,sh_mvol,sh_lvl,nan_reason
2012-05-28,18502,3667.359,0.034183,0.020709,0.0,0.069197,1.90555,0.929333,0.198413,0.0,0.259059,0.943084,
2012-05-29,23733,2328.853,-0.020592,0.005877,0.0,0.102378,1.706788,0.755667,0.131231,0.026316,0.348987,0.950662,
2012-05-30,62444,1130.159,0.011737,0.031576,0.000333,0.103116,1.51142,0.524667,0.503716,0.0,1.053911,0.696173,
2012-05-31,80512,1097.643,0.018713,0.034829,0.000667,0.10144,1.154217,0.401667,0.590116,0.111111,0.989646,0.427794,
2012-06-01,45579,1817.684,-0.012509,0.002499,0.0,0.12604,1.47574,0.99,0.039823,0.0,0.473434,1.0,
2012-06-04,27033,2698.786,0.061521,0.044546,0.000667,0.077946,1.456666,0.541333,0.446537,0.022727,0.44477,0.667555,
2012-06-06,33178,1587.215,-0.011673,0.03404,0.001,0.131513,1.40871,0.977333,0.543836,0.153846,1.429734,1.0,
2012-06-07,51834,1731.902,0.007401,0.054468,-0.001,0.065539,1.604319,0.320667,0.361569,-0.035714,0.828564,0.393225,
2012-06-11,33692,1519.142,-0.002478,0.014264,-0.000333,0.120869,1.348245,0.975667,0.413889,0.08,0.553881,1.0,
2012-06-12,32136,1749.578,-0.001415,0.014379,0.000667,0.10581,1.508895,0.253333,0.294719,0.034483,0.51624,0.312156,
2012-06-14,50030,1698.894,-0.013529,0.037606,-0.002001,0.085433,1.422602,0.140667,0.401627,0.107143,0.949481,0.247956,
2012-06-15,21136,2380.654,0.023432,0.017708,0.000667,0.066597,1.801083,0.477,0.244618,-0.128205,0.399134,0.730922,
2012-06-19,19239,2711.677,0.010374,0.021938,0.000667,0.039068,1.431271,0.245333,0.224227,-0.155556,0.297769,0.31696,
2012-06-20,22019,1252.842,-0.012579,0.018497,0.0,0.044007,1.202637,0.678333,0.187105,0.1,0.568608,0.864604,
2012-06-21,27615,1515.643,-0.034936,0.050738,-0.000333,0.05135,1.297976,0.536333,0.606911,0.08,0.50958,0.653759,
2012-06-22,22288,2255.204,-0.032558,0.021968,0.002001,0.048007,1.50914,0.547333,0.19888,0.027027,0.377119,0.697209,
2012-06-25,37563,2237.358,0.005137,0.016923,-0.000667,0.046073,1.48733,0.990333,0.245308,0.027027,0.298754,1.0,
2012-06-27,12909,5973.691,-0.04482,0.019012,-0.000333,0.056985,1.779132,0.24,0.16,-0.010101,0.164138,0.27988,
2012-06-28,17993,3798.617,-0.030223,0.055556,0.0,0.037963,1.618356,0.272667,0.314607,0.031746,0.297487,0.330345,
2012-07-02,70367,1199.275,0.022414,0.042687,0.002001,0.076268,1.196315,0.255333,0.443505,0.157895,0.860174,0.3992,
2012-07-03,21009,2914.601,0.011765,0.031546,-0.000667,0.038113,1.436076,0.836667,0.24335,-0.020833,0.28896,0.868092,
2012-07-05,34350,1834.955,-0.008065,0.020272,0.000333,0.057649,1.4446,0.046667,0.30122,0.033333,0.423509,0.075787,
2012-07-06,16832,3226.897,0.009309,0.017257,-0.001,0.037325,1.57706,0.277667,0.097119,0.018868,0.302296,0.432781,
2012-07-10,15525,5428.075,-0.03709,0.024433,0.000333,0.039666,1.498783,0.274,0.161211,0.011111,0.186244,0.326145,
2012-07-12,14696,4340.209,-0.051152,0.051984,0.000667,0.038827,1.476576,0.432,0.290494,0.013889,0.270819,0.601642,
2012-07-16,59416,1415.963,0.036349,0.042649,-0.001,0.0683,1.29623,0.515,0.519849,0.086957,0.627867,0.521238,
2012-07-17,37479,1957.796,0.00549,0.029587,0.000333,0.074551,1.410322,0.719667,0.482477,-0.03125,0.517162,0.91541,
2012-07-18,20196,2054.283,-0.032609,0.009117,-0.000333,0.052526,1.439927,1.0,0.145889,0.058824,0.261725,1.0,
2012-07-20,20963,2798.035,0.019188,0.038183,0.000667,0.048047,1.760339,0.2,0.40636,-0.021739,0.252384,0.245701,
2012-07-23,88601,1665.707,0.021757,0.029148,-0.001,0.053313,1.252763,0.352667,0.376861,-0.111111,0.402488,0.453652,
2012-07-24,21085,1375.403,-0.010685,0.010816,-0.000333,0.063814,1.491328,0.275667,0.17624,0.0,0.448786,0.686795,
2012-07-25,26922,1918.596,-0.007803,0.039443,-0.001667,0.094364,2.465762,0.215333,0.451689,-0.032258,0.688432,0.513145,
2012-07-26,16112,3206.235,0.029592,0.02766,0.0,0.034917,1.608079,0.639333,0.295082,0.09434,0.126342,0.658111,
2012-07-27,15433,3417.505,0.021442,0.013396,0.0,0.044239,1.712845,0.582,0.116959,0.017857,0.253567,0.635819,
