# h0_tickfeat v2 (SIGNAL BAR j — Engineer BLOCKING-1 fix; v1 f1bdba72 โมฆะ) | ROLL_D=60 MIN_OBS=30 | Dukascopy M1 col6 | baseline ok-days past-only | reads day_facts date/status/traded/entry_time + h0_features asian_width ONLY (no P&L)
date,tick_sig,rel_tick_sig,rjR,asian_ticks,rel_tick_asian,tick_cov_asian,base_obs_sig
2012-10-29,,,,14361,1.1794,0.998,0
2012-10-30,,,,16822,1.37127,0.995,0
2012-10-31,,,,11588,0.937768,0.993,0
2012-11-01,54,1.66154,0.0395349,14119,1.15093,1,60
2012-11-02,161,1.49074,0.0651341,15086,1.22085,0.998,60
2012-11-05,57,0.838235,0.0813517,18084,1.4544,0.998,60
2012-11-06,,,,12728,1.00347,0.995,0
2012-11-07,107,2.85333,0.0770713,28123,2.19668,0.998,60
2012-11-08,117,1.45342,0.266533,16285,1.26461,0.998,60
2012-11-09,212,1.17778,0.109141,17789,1.37873,0.998,60
2012-11-12,166,1.89714,0.214133,15799,1.21074,1,60
2012-11-13,208,1.82456,0.539749,15253,1.15667,0.998,60
2012-11-14,79,0.88764,0.0791667,13810,1.0326,1,60
2012-11-15,93,1.28276,0.358566,14840,1.09536,1,60
2012-11-16,173,2.07186,0.226786,13569,0.993229,0.995,60
2012-11-19,,,,15554,1.13778,0.998,0
2012-11-20,120,1.2766,0.203571,12265,0.897187,0.995,60
2012-11-21,,,,16844,1.23214,0.998,0
2012-11-22,,,,11320,0.820825,1,0
2012-11-23,24,0.648649,0.119522,7798,0.565441,0.99,60
2012-11-26,,,,14132,1.02473,0.976,0
2012-11-27,,,,12556,0.910449,1,0
2012-11-28,41,0.88172,0.0869565,14311,1.03771,1,60
2012-11-29,128,1.88235,0.159363,13625,0.975688,1,60
2012-11-30,223,1.55944,0.429238,13226,0.947116,0.998,60
2012-12-03,247,1.99194,0.280811,15960,1.1429,1,60
2012-12-04,230,1.67883,0.0866521,16368,1.15847,0.993,60
2012-12-05,189,1.62232,0.125819,15779,1.10924,0.993,60
2012-12-06,102,3.29032,0.0633484,18480,1.28906,1,60
2012-12-07,310,2.79279,0.704082,9923,0.692174,0.998,60
2012-12-10,81,1.76087,0.0643087,13327,0.936872,0.998,60
2012-12-11,99,1.44526,0.15122,14812,1.04127,0.988,60
2012-12-12,89,2.47222,0.219941,10908,0.760882,0.993,60
2012-12-13,155,2.38462,0.160234,22369,1.57251,1,60
2012-12-14,200,1.3986,0.134206,15926,1.11958,0.998,60
2012-12-17,119,2.05172,0.0456621,17021,1.19656,0.998,60
2012-12-18,,,,12834,0.895229,0.998,0
2012-12-19,124,1.83704,0.209836,14893,1.03885,1,60
2012-12-20,261,1.67846,0.332609,15561,1.08239,1,60
2012-12-21,,,,22844,1.58898,1,0
2012-12-24,,,,0,0,0,0
2012-12-26,,,,12631,0.865285,0.981,0
2012-12-27,,,,13012,0.891386,1,0
2012-12-28,,,,13115,0.898442,0.998,0
2012-12-31,,,,8839,0.605515,0.993,0
2013-01-02,48,1.41176,0.079922,10234,0.701079,0.995,60
2013-01-03,,,,9261,0.634424,0.998,0
2013-01-04,147,2.57895,0.0452128,24841,1.70173,0.998,60
2013-01-07,106,1.96296,0.129683,21348,1.4417,0.998,60
2013-01-08,,,,17080,1.15203,0.993,0
2013-01-09,116,3.13514,0.129145,16255,1.0934,0.995,60
2013-01-10,158,4.05128,0.449367,13216,0.888979,1,60
2013-01-11,205,1.60784,0.229412,15119,1.01698,0.998,60
2013-01-14,,,,11372,0.760796,0.993,0
2013-01-15,177,4.37037,0.243351,17362,1.16786,1,60
2013-01-16,61,1.60526,0.0419463,14866,0.994548,1,60
2013-01-17,61,1.18447,0.0810811,11702,0.786451,0.993,60
2013-01-18,70,1.33333,0.101923,13858,0.931348,1,60
2013-01-21,,,,13314,0.896385,1,0
2013-01-22,155,1.4486,0.3174,14413,0.970376,1,60
2013-01-23,,,,9992,0.672726,1,0
2013-01-24,154,2.464,0.182448,15192,1.02282,1,60
2013-01-25,239,3.39007,0.239943,13822,0.930586,1,60
2013-01-28,133,1.62195,0.212034,11391,0.766916,1,60
2013-01-29,,,,11419,0.768801,1,0
2013-01-30,98,2.36145,0.140426,10318,0.69594,0.995,60
2013-01-31,,,,10240,0.70077,0.995,0
2013-02-01,,,,12833,0.878221,1,0
2013-02-04,,,,8655,0.602632,0.986,0
2013-02-05,86,2.52941,0.0626087,11594,0.807269,1,60
2013-02-06,,,,10716,0.746136,1,0
2013-02-07,186,1.60345,0.190678,14118,1.00238,1,60
2013-02-08,156,1.46479,0.298354,11408,0.815556,1,60
2013-02-11,84,1.32283,0.686084,6068,0.4338,1,60
2013-02-12,121,1.75362,0.131148,12447,0.89935,0.998,60
2013-02-13,52,1.26829,0.106436,12033,0.870947,1,60
2013-02-14,72,1.13386,0.0886918,10057,0.733151,1,60
2013-02-15,158,2.35821,0.224561,14079,1.03545,1,60
2013-02-18,74,0.61157,0.0743455,19839,1.45907,0.962,60
2013-02-19,187,1.59149,0.143106,11662,0.857689,0.993,60
2013-02-20,134,2.2906,0.059387,15847,1.17839,1,60
2013-02-21,,,,28133,2.09198,1,0
2013-02-22,186,1.80583,0.0888889,16763,1.24392,0.998,60
2013-02-25,169,1.6019,0.0921739,18723,1.38936,1,60
2013-02-26,217,3.14493,0.184282,21529,1.56877,1,60
2013-02-27,,,,18546,1.3514,1,0
2013-02-28,130,3.33333,0.404412,16239,1.17334,1,60
2013-03-01,180,1.91489,0.164671,17337,1.25267,1,60
2013-03-04,80,1.64948,0.036385,18461,1.32162,1,60
2013-03-05,67,1.04688,0.0493827,13863,0.983296,1,60
2013-03-06,39,0.672414,0.0570866,14100,1.00923,1,60
2013-03-07,,,,15533,1.1118,1,0
2013-03-08,189,2.40764,0.301471,12394,0.887123,0.995,60
2013-03-11,,,,12910,0.931424,1,0
2013-03-12,76,1.13433,0.138767,11693,0.84362,0.995,60
2013-03-13,168,2.3662,1.05159,11345,0.818513,0.993,60
2013-03-14,,,,13548,0.978902,0.995,0
