# h0_dcfeat v2 (+os_canon SE M4; v1 faff68a3 superseded) | delta=0.5*asian_width ex-ante | window 08:00→close(j) | DC def verified from arXiv 0809.1040 full text | reads day_facts date/status/traded/entry_time/dir + h0_features asian_width ONLY
date,dc_mode_aligned,os_units,os_canon,n_dc,dc_state,dc_state_canon
2015-09-04,1,0.5993,0.6835,2,FRESH,FRESH
2015-09-07,1,0.7757,0.8110,1,FRESH,FRESH
2015-09-08,,,,,,
2015-09-09,,,,,,
2015-09-10,,,,,,
2015-09-11,1,0.8969,0.9462,1,FRESH,FRESH
2015-09-14,1,0.6467,0.7325,1,FRESH,FRESH
2015-09-15,1,0.4857,0.7214,2,FRESH,FRESH
2015-09-16,,,,,,
2015-09-17,,,,,,
2015-09-18,1,0.8841,1.0300,2,FRESH,MID
2015-09-21,,,,,,
2015-09-22,1,0.8915,0.8915,2,FRESH,FRESH
2015-09-23,,,,,,
2015-09-24,-1,,,0,UNDEF,UNDEF
2015-09-25,,,,,,
2015-09-28,,,,,,
2015-09-29,-1,,,0,UNDEF,UNDEF
2015-09-30,1,0.3106,0.3333,3,FRESH,FRESH
2015-10-01,-1,,,0,UNDEF,UNDEF
2015-10-02,1,0.0000,0.9316,1,FRESH,FRESH
2015-10-05,,,,,,
2015-10-06,1,0.3755,0.4330,1,FRESH,FRESH
2015-10-07,,,,,,
2015-10-09,,,,,,
2015-10-12,-1,,,0,UNDEF,UNDEF
2015-10-13,,,,,,
2015-10-15,,,,,,
2015-10-16,1,1.1696,1.2664,4,MID,MID
2015-10-19,,,,,,
2015-10-20,,,,,,
2015-10-21,,,,,,
2015-10-22,1,2.2030,2.5284,8,EXTENDED,EXTENDED
2015-10-23,,,,,,
2015-10-26,,,,,,
2015-10-27,1,2.3252,2.4417,4,EXTENDED,EXTENDED
2015-10-28,-1,,,0,UNDEF,UNDEF
2015-10-29,1,0.9433,1.0426,3,FRESH,MID
2015-10-30,1,1.6731,1.6923,3,MID,MID
2015-11-02,1,1.0872,1.1147,1,MID,MID
2015-11-03,1,1.0740,1.1935,1,MID,MID
