# h0_day_facts v1 | field=SIM-SEARCH uncapped flat0.01 ea_catchup cfg={'CAPR': 1.0, 'A': 1.0, 'D': 1.0, 'SLOPE': 0.0005, 'EMA_P': 2880, 'SLOPE_B': 1440, 'allow_short': True, 'spread_mult': 1.0} | features_sha256=ed49e6cd77b1cf578f94ea5a708ab70d5de3ab693c3837f966dad2b22d8ddb5c | MED-1: ห้ามเรียก edge จากสนามนี้จนผ่าน capped+real-tick confirm
date,dow,status,bars,sess_bars,max_gap_min,first_sess_min,last_sess_min,days_since_prev,prev_ok,warmup_incomplete,asian_bars,asian_width,overnight_gap,prev_range,rv_prev,rv_pct250,range_exp,slope_08,slope_pct250,traded,entry_time,pnl,reason,dir,R,exit_date,cross_day
2013-11-12,1,ok,1379,1378,3,60,1439,1,1,0,418,6.48,-0.15,9.65,0.0062466,12,0.462054,-0.00900093,10.8,1,18:03,6.27,stop,-1,6.48,2013-11-12,0
2013-11-13,2,ok,1379,1378,2,60,1439,1,1,0,418,7.44,0,23.95,0.00906312,39.6,1.20899,-0.00777701,13.6,0,,,,,,,
2013-11-14,3,ok,1381,1380,1,60,1439,1,1,0,420,7.46,-0.03,18.34,0.0101147,49.2,0.925795,-0.000723455,45.2,1,16:53,-1.4,eod,1,7.46,2013-11-14,0
2013-11-15,4,ok,1380,1379,2,60,1439,1,1,0,419,5.23,0,16.14,0.0114647,60.4,0.855099,0.00405349,79.6,0,,,,,,,
2013-11-18,0,ok,1379,1379,2,60,1439,3,1,0,419,5.02,-0.59,10.76,0.0069062,15.6,0.57402,0.00163303,67.2,0,,,,,,,
2013-11-19,1,ok,1380,1379,2,60,1439,1,1,0,420,5.02,0,19.57,0.00864656,34.8,1.13515,-0.00407854,28.4,1,13:16,-5.33,stop,-1,5.02,2013-11-19,0
2013-11-20,2,ok,1379,1378,2,60,1439,1,1,0,418,2.61,-0.23,9.68,0.00864259,34.8,0.516404,-0.00292954,32.8,1,08:39,0.45,stop,-1,2.61,2013-11-20,0
2013-11-21,3,ok,1380,1380,1,60,1439,1,1,0,420,6.7,-1.32,35.27,0.0172698,91.6,1.88157,-0.0107468,8,1,16:00,-1.02,eod,-1,6.7,2013-11-21,0
2013-11-22,4,ok,1380,1379,2,60,1439,1,1,0,420,4.26,0,13.59,0.0107996,53.6,0.724993,-0.0100533,8.4,1,12:26,-4.63,stop,-1,4.26,2013-11-22,0
2013-11-25,0,ok,1378,1378,2,60,1439,3,1,0,420,7.1,-1.12,7.83,0.00763138,24,0.417711,-0.00472164,26.4,1,08:02,1.25,stop,-1,7.1,2013-11-25,0
2013-11-26,1,ok,1381,1380,1,60,1439,1,1,0,420,8.03,0.01,28.93,0.0110744,56,1.67807,-0.00114565,44.4,0,,,,,,,
2013-11-27,2,ok,1380,1379,2,60,1439,1,1,0,420,5.55,0,18.24,0.0093592,41.6,1.058,0.000458664,58,0,,,,,,,
2013-11-28,3,short,1082,1081,3,60,1149,1,1,0,418,6.94,-0.1,18.39,0.00957905,44.4,1.00547,-0.00157859,41.6,0,,,,,,,
2013-11-29,4,short,1179,1179,2,60,1242,1,0,0,417,4.23,-0.27,11.45,0.00655131,13.2,0.626025,-0.00129972,43.2,0,,,,,,,
2013-12-02,0,ok,1380,1380,1,60,1439,3,0,0,420,5.19,-0.22,13.98,0.00722603,19.2,0.764352,0.00221523,71.6,0,,,,,,,
2013-12-03,1,ok,1381,1380,1,60,1439,1,1,0,420,4.55,0,32.96,0.0102043,48.8,1.80208,-0.00940334,10.4,1,12:31,-4.91,stop,-1,4.55,2013-12-03,0
2013-12-04,2,ok,1379,1378,2,60,1439,1,1,0,419,4.7,-0.11,10.94,0.00899598,35.6,0.598141,-0.00669074,18,1,09:03,3.41,stop,-1,4.7,2013-12-04,0
2013-12-05,3,ok,1381,1380,1,60,1439,1,1,0,420,6.51,0,39.78,0.014402,81.6,2.31414,0.00310626,76.4,0,,,,,,,
2013-12-06,4,ok,1379,1378,2,60,1439,1,1,0,419,4.59,0,26.47,0.0127045,70.8,1.53985,-0.000891056,45.2,1,15:31,-4.95,stop,-1,4.59,2013-12-06,0
2013-12-09,0,ok,1379,1379,2,60,1439,3,1,0,419,6.73,1.69,32.61,0.0184999,93.6,1.78294,-9.57187e-06,53.2,0,,,,,,,
2013-12-10,1,ok,1379,1379,2,60,1439,1,1,0,419,4.87,-0.47,17.8,0.00715812,17.2,0.969235,0.00333183,78,1,08:04,18.31,stop,1,4.87,2013-12-10,0
2013-12-11,2,ok,1380,1379,2,60,1439,1,1,0,420,6.54,0.03,29.8,0.0107358,51.2,1.62265,0.0116936,97.2,0,,,,,,,
2013-12-12,3,ok,1378,1377,2,62,1439,1,1,0,418,3.5,0.01,12.28,0.00894215,33.6,0.668663,0.00408332,81.6,1,09:58,-3.53,stop,1,3.5,2013-12-12,0
2013-12-13,4,ok,1373,1372,3,60,1439,1,1,0,420,4.28,-0.1,33.22,0.0116936,61.6,1.80888,-0.0104125,8.4,1,10:04,-4.63,stop,-1,4.28,2013-12-13,0
2013-12-16,0,ok,1380,1380,1,60,1439,3,1,0,420,4.67,-0.55,18.08,0.00982079,45.2,0.984481,-0.00364431,31.2,1,09:28,0.28,stop,-1,4.67,2013-12-16,0
2013-12-17,1,ok,1377,1376,5,60,1439,1,1,0,416,7.89,0.07,24.2,0.00933511,38,1.32132,0.00169362,68,1,09:07,-7.92,stop,1,7.89,2013-12-17,0
2013-12-18,2,ok,1380,1379,2,60,1439,1,1,0,420,5.1,0.01,20.62,0.0116919,61.2,1.08641,-0.00186992,38.8,1,09:49,-5.48,stop,-1,5.1,2013-12-18,0
2013-12-19,3,ok,1381,1380,1,60,1439,1,1,0,420,10.64,-0.04,28.48,0.0229606,97.6,1.41727,-0.00463732,27.6,1,09:41,22.1,eod,-1,10.64,2013-12-19,0
2013-12-20,4,ok,1376,1375,3,60,1439,1,1,0,420,8.7,0,39.56,0.0152543,84.4,1.76528,-0.0168462,2.4,0,,,,,,,
2013-12-23,0,ok,1376,1376,3,60,1439,3,1,0,420,5.57,-0.07,19.25,0.00965869,41.6,0.759818,-0.00575482,23.6,1,11:40,0.67,stop,-1,5.57,2013-12-23,0
2013-12-24,1,short,1155,1155,3,60,1229,1,1,0,407,2.59,-0.49,13.52,0.00850977,27.2,0.603302,-0.00283021,36,1,09:32,-2.99,stop,-1,2.59,2013-12-24,0
2013-12-26,3,short,1193,1193,3,236,1439,2,0,0,243,3.5,0.42,9.46,0.00620538,8.8,0.422133,-0.000466696,48.8,1,13:19,4.66,stop,1,3.5,2013-12-26,0
2013-12-27,4,ok,1371,1370,2,60,1439,1,0,0,418,3.83,-0.02,12.66,0.00680829,12.4,0.564926,0.00445721,82.8,1,08:05,-3.86,stop,1,3.83,2013-12-27,0
2013-12-30,0,ok,1379,1379,2,60,1439,3,1,0,420,8.78,0.94,10.04,0.00818851,25.6,0.448014,0.00313471,76,0,,,,,,,
2013-12-31,1,ok,1373,1372,2,60,1439,1,1,0,415,5.13,-0.01,21.54,0.00831744,26,0.961178,-0.00469309,28,1,15:48,-5.53,stop,-1,5.13,2013-12-31,0
2014-01-02,3,ok,1379,1379,2,60,1439,2,1,0,420,26.85,-1.78,32.2,0.0159605,87.2,1.52751,0.00125769,62.4,0,,,,,,,
2014-01-03,4,ok,1377,1376,2,60,1439,1,1,0,420,14.23,-0.01,28.47,0.0129095,71.6,1.24486,0.0102693,94,1,08:47,1.61,eod,1,14.23,2014-01-03,0
2014-01-06,0,ok,1379,1379,2,60,1439,3,1,0,419,13.4,0.3,18.44,0.0114056,56,0.727847,0.00937929,93.2,1,17:01,-13.43,stop,1,13.4,2014-01-06,0
2014-01-07,1,ok,1381,1380,1,60,1439,1,1,0,420,6.78,0,33.71,0.0140731,78.4,1.47398,0.00551363,86,1,08:20,-6.81,stop,1,6.78,2014-01-07,0
2014-01-08,2,ok,1381,1380,1,60,1439,1,1,0,420,6.82,0.02,20.31,0.00861401,27.2,0.801658,-0.0020369,38,1,10:30,-0.13,eod,-1,6.82,2014-01-08,0
2014-01-09,3,ok,1378,1377,3,60,1439,1,1,0,418,3.79,0.03,13.92,0.0114376,56,0.608658,-0.00415018,29.2,1,18:37,-4.15,stop,-1,3.79,2014-01-09,0
2014-01-10,4,ok,1378,1377,2,60,1439,1,1,0,420,10.37,0,7.98,0.00774118,20,0.378558,0.000245369,54,1,15:31,5.22,eod,1,10.37,2014-01-10,0
