# w7_run_trades.csv per-trade dual-exit record | field=SEARCH
date,cell,pnl_v4,pnl_ts,uw30,d30,armed
2017-05-10,CLEAN|SPENT,0.5,-0.76,1,-0.5500,0
2017-05-12,FO,1.51,1.51,0,0.4200,1
2017-05-15,FO,1.64,1.64,0,0.1700,1
2017-05-16,FO,0.85,-0.82,1,-0.8200,0
2017-05-17,FO,12.88,12.88,0,1.0400,1
2017-05-18,CLEAN|SPENT,-5.4,-3.83,1,-3.8300,0
2017-05-19,POKED|FRESH,0.33,-1.16,1,-1.1600,0
2017-05-22,POKED|FRESH,2.24,2.24,0,0.9400,0
2017-05-24,POKED|FRESH,-3.37,-3.37,0,1.9100,0
2017-05-26,FO,8.27,-1.19,1,-1.1900,1
2017-06-05,CLEAN|FRESH,-3.64,-0.35,1,-0.3500,0
2017-06-06,FO,8.11,8.11,0,1.6600,1
2017-06-08,FO,-3.72,-1.34,1,-1.3400,0
2017-06-09,FO,4.98,4.98,0,0.2700,0
2017-06-12,FO,-4.05,-0.49,1,-0.2600,0
2017-06-13,CLEAN|FRESH,-4.67,-4.67,0,0.1800,0
2017-06-14,CLEAN|FRESH,-4.19,-4.19,0,0.2900,0
2017-06-15,POKED|FRESH,4.66,4.66,0,1.3500,0
2017-06-16,FO,-3.4,-1.71,1,-1.4700,0
2017-06-19,CLEAN|FRESH,5.87,5.87,0,0.8200,1
2017-06-20,CLEAN|SPENT,0.11,0.11,0,0.0400,0
2017-06-21,POKED|SPENT,-4.42,-1.33,1,-1.1100,0
2017-06-23,FO,3.38,3.38,0,0.0800,1
2017-06-28,CLEAN|FRESH,-3.9,-1.59,1,-1.5900,0
2017-06-30,CLEAN|FRESH,1.25,1.25,0,0.0600,0
2017-07-03,FO,14.56,14.56,0,0.4400,1
2017-07-05,POKED|FRESH,0.1,0.1,0,0.0600,1
2017-07-06,CLEAN|FRESH,-1.41,-0.26,1,-0.0300,0
2017-07-07,POKED|SPENT,5.1,5.1,0,0.7600,1
2017-07-10,FO,1.11,1.11,0,2.5900,1
2017-07-11,FO,-5.78,-0.52,1,-0.2700,0
2017-07-12,FO,-3.93,-0.53,1,-0.5300,0
2017-07-13,FO,-6.15,-1.51,1,-1.5100,0
2017-07-17,CLEAN|FRESH,1.39,1.39,0,2.1600,0
2017-07-18,FO,2.86,-1.19,1,-1.1900,0
